val_mIoU,val_F1,val_OA,epoch,step,train_mIoU,train_F1,train_OA
0.8354432387734874,0.9093621287256586,0.8924145273502978,16,10097,,,
,,,16,10097,0.7987318344918004,0.8867186846830726,0.8924562138116097
0.8573258418905214,0.9219395990293677,0.9091322400147208,17,10691,,,
,,,17,10691,0.8064499505168092,0.891595811035629,0.8977759318810208
0.856780251613077,0.9217886152924224,0.9088384780962324,18,11285,,,
,,,18,11285,0.8129477755877421,0.8954028706269763,0.9015831317609051
0.852393628663671,0.9193757122884618,0.905155266747967,19,11879,,,
,,,19,11879,0.8248107085946195,0.9025910643856567,0.9105706726884824
0.8617190933555587,0.9243683813774604,0.9128196200346429,20,12473,,,
,,,20,12473,0.8319969424551921,0.906926514864735,0.9153213472434121
0.86389309634217,0.9257601937233313,0.9125791227690916,21,13067,,,
,,,21,13067,0.8282872896732141,0.9047266700850838,0.9134728167327298
0.8617104973623644,0.924562484656284,0.91185538129659,22,13661,,,
,,,22,13661,0.8364895922245368,0.9097394310661187,0.9178126164246176
0.8666985042244619,0.9273625994715883,0.9156890245032125,23,14255,,,
,,,23,14255,0.8439324104466502,0.9141024178380512,0.921877913469685
0.8453114067275527,0.9151864390314193,0.9004676629036212,24,14849,,,
,,,24,14849,0.8427918375295137,0.913383115402286,0.9224821234124009
0.8653748563391369,0.9263770260525486,0.914166301367435,25,15443,,,
,,,25,15443,0.84263038273567,0.9133947674291321,0.9219019747476118
0.868784836149324,0.9284676203075146,0.9156478262340589,26,16037,,,
,,,26,16037,0.8558644389636985,0.921236432418718,0.9298840011499636
0.8644365613063228,0.9260789638149309,0.9127525029897846,27,16631,,,
,,,27,16631,0.8535364059329789,0.9198710081343547,0.9284187528108596
0.8579417189963008,0.9221993707456392,0.9076111139912569,28,17225,,,
,,,28,17225,0.8577499805994141,0.9223330277503223,0.9304823720227722
0.8709841227845093,0.9297572876912188,0.9172170953672971,29,17819,,,
,,,29,17819,0.8558662835210202,0.9212146712073388,0.9298066354359842
0.8646931606338617,0.9261114863713313,0.9130579896097037,30,18413,,,
,,,30,18413,0.8621024031465785,0.9249362444658791,0.9330081932561656
0.8663539075961695,0.9271964500643612,0.9141300253545752,31,19007,,,
,,,31,19007,0.8636172961065229,0.9258240573062644,0.9337823113563843
0.8679903548225605,0.9280319742457077,0.9150606906209744,32,19601,,,
,,,32,19601,0.8671869659378092,0.927867498390528,0.9370107240459244
0.867569997977564,0.9277670300559516,0.9142361316765018,33,20195,,,
,,,33,20195,0.8627820003849537,0.9253252609469838,0.9335349625609941
0.8697917204528345,0.928981608961463,0.9155185602757916,34,20789,,,
,,,34,20789,0.8664506817747881,0.9274645484141859,0.935701257496615
0.8688913471185714,0.9285617113523446,0.915709664340739,35,21383,,,
,,,35,21383,0.8697297356601408,0.9293910795951621,0.9386462815638299
0.8707320382306112,0.929688636163477,0.9166808282631504,36,21977,,,
,,,36,21977,0.8710227281336773,0.9301065284576396,0.9391807444836824
0.8714628662742513,0.9300117325305729,0.917351801829427,37,22571,,,
,,,37,22571,0.8690259185707867,0.9289184721697923,0.9390693369136516
0.8716845943014617,0.9301553041356929,0.9173354735271335,38,23165,,,
,,,38,23165,0.8720915610607265,0.9307196215109368,0.9401776006593715
0.8675048167894355,0.9278479677344719,0.915023678041754,39,23759,,,
,,,39,23759,0.8744648708915073,0.9321150236816469,0.9412466535129398
0.8715879363962931,0.9301481521433671,0.9172494594361676,40,24353,,,
,,,40,24353,0.8748982109508847,0.9323806409988038,0.941066303816887
0.8706604166804379,0.9295818662294921,0.9168187198418938,41,24947,,,
,,,41,24947,0.8728302763626345,0.9311701327344133,0.93989697922672
0.8701042799672885,0.9293209060323795,0.916665106519484,42,25541,,,
,,,42,25541,0.8758090333086965,0.9329094825238811,0.9413200596767644
0.8717046187247038,0.9301800277585318,0.9175089502283794,43,26135,,,
,,,43,26135,0.874256305100279,0.9320132051225645,0.9407211372212796
0.8711835541052985,0.9298909862795508,0.9171691856440859,44,26729,,,
,,,44,26729,0.8757100371397484,0.9328582947572527,0.9418323158638067
0.8584375714223079,0.9227371770954558,0.9074022250516279,45,27323,,,
