val_mIoU,val_F1,val_OA,epoch,step,train_mIoU,train_F1,train_OA
,,,22,1977,0.7984132831435822,0.8852971857484232,0.9089160464530766
0.8398694327793992,0.9108943520234198,0.9343908869641004,23,2063,,,
,,,23,2063,0.8019246799656248,0.8875851904641563,0.9098317844923152
0.8279734794407791,0.9031023858256348,0.9275273131629582,24,2149,,,
,,,24,2149,0.8025169445735735,0.8879465652807936,0.9109888742136399
0.8416702636358886,0.9119223604315956,0.9346225309229736,25,2235,,,
,,,25,2235,0.8090795419895536,0.8922314065691768,0.9136632930400759
0.8403079938526965,0.9110868001946907,0.9338186609349259,26,2321,,,
,,,26,2321,0.8165489750741808,0.8969030243765235,0.9176856639773345
0.8378174270459453,0.9095241471259867,0.9332097662925134,27,2407,,,
,,,27,2407,0.8175994159264476,0.8975791706836995,0.9183882558068561
0.8356946223408093,0.9080314931712935,0.9311268957788388,28,2493,,,
,,,28,2493,0.8171146213964684,0.8973357384513426,0.9166843281235804
0.842368130840758,0.9124088328634371,0.9349988402331086,29,2579,,,
,,,29,2579,0.822036736575817,0.9003678910452928,0.9203320159468538
0.8427215948217208,0.9126329543023821,0.9349239816698649,30,2665,,,
,,,30,2665,0.8246530752538006,0.901979235685433,0.9221206709396006
0.8427374116809416,0.9125632959466561,0.9349008557002663,31,2751,,,
,,,31,2751,0.8288043641476253,0.904540379204621,0.9232690223427704
0.8436729631382893,0.9131284358289455,0.9349948549439077,32,2837,,,
,,,32,2837,0.8330088506236524,0.9072519754412879,0.925581516221512
0.8395484189270461,0.9105762261746557,0.9332627167364551,33,2923,,,
,,,33,2923,0.8285282100220455,0.9044190569423753,0.9238037785818409
0.8436638190108323,0.9131832171879319,0.9353518504470058,34,3009,,,
,,,34,3009,0.8347865842883498,0.9083880527497528,0.9258397623550059
0.8431494073522011,0.9128225396888356,0.9353166991432804,35,3095,,,
,,,35,3095,0.8328491041407531,0.9070544946350994,0.9257768752963043
0.8427035537167159,0.91253228493004,0.9349305972282695,36,3181,,,
,,,36,3181,0.8319847798773768,0.9065102528682359,0.9259255098742107
0.8418003128789506,0.9119555185178824,0.9343909176130087,37,3267,,,
,,,37,3267,0.8318000919356671,0.9064732591896915,0.9247529007667716
0.8424901538673075,0.9123418940654345,0.9351189693923045,38,3353,,,
,,,38,3353,0.8328189370882912,0.9070199166565247,0.9260093278663102
0.8445206843378648,0.9136491256194224,0.9353384670318788,39,3439,,,
,,,39,3439,0.8346441532582642,0.9081516830528344,0.9263704044874322
0.8431155153984284,0.912756334046296,0.9348874781152505,40,3525,,,
,,,40,3525,0.8367879757663252,0.9094999212438999,0.9274533349414202
0.8425591461978801,0.9124242735795003,0.9347272228735801,41,3611,,,
,,,41,3611,0.8409210789609503,0.912007104809659,0.9296608858330304
0.8436753751301388,0.9131172576393426,0.9349773652871334,42,3697,,,
,,,42,3697,0.8380558757687708,0.910263826649806,0.9288516876309416
0.8427389260040989,0.9125315817145516,0.9344929820283407,43,3783,,,
,,,43,3783,0.8362182709685755,0.9091723161357572,0.9272102089815359
0.8430622099175862,0.9127163309835327,0.9349971797544632,44,3869,,,
,,,44,3869,0.841099457640584,0.9121552825105927,0.9303943112839098
0.8303669047571813,0.9046956928561786,0.9282306636698776,45,3955,,,
